obsah,datum
"Dňa 01.03.2024 bola zverejnená predbežná informácia k návrhu vyhlášky Úradu pre reguláciu sieťových odvetví, ktorou sa mení a dopĺňa vyhláška Úradu pre reguláciu sieťových...[PI/ÚRSO III – Štandardy kvality prenosu, distribúcie a dodávky elektriny](/?ros_monitoring_aktuality&sprava=pi-urso-iii-standardy-kvality-prenosu-distribucie-a-dodavky-elektriny)",11. 03. 2024
"Dňa 01.03.2024 bola zverejnená predbežná informácia k návrhu vyhlášky Úradu pre reguláciu sieťových odvetví, ktorou sa mení a dopĺňa vyhláška Úradu pre reguláciu...[MPK/Ročné a polročné správy dôchodkových správcovských spoločností](/?ros_monitoring_aktuality&sprava=mpk-rocne-a-polrocne-spravy-dochodkovych-spravcovskych-spolocnosti)",11. 03. 2024
Dňa 01.03.2024 bol v MPK zverejnený návrh opatrenia Národnej banky Slovenska z ... 2024 o ročných správach a polročných správach predkladaných dôchodkovou správcovskou spoločnosťou je vypracovaný na základe...[PI/ÚRSO I – štandardy kvality tepla](/?ros_monitoring_aktuality&sprava=pi-urso-i-standardy-kvality-tepla),11. 03. 2024
"Dňa 01.03.2024 bola zverejnená predbežná informácia Návrh vyhlášky Úradu pre reguláciu sieťových odvetví, ktorou sa mení a dopĺňa vyhláška Úradu pre reguláciu sieťových...[MPK/Ročné a polročné správy doplnkových dôchodkových spoločností](/?ros_monitoring_aktuality&sprava=mpk-rocne-a-polrocne-spravy-doplnkovych-dochodkovych-spolocnosti)",11. 03. 2024
Dňa 01.03.2024 bol v MPK zverejnený návrh opatrenia Národnej banky Slovenska z ... 2024 o ročných správach a polročných správach predkladaných doplnkovou dôchodkovou spoločnosťou je vypracovaný...[MPK/Účasť na Generálnej konferencii MOP](/?ros_monitoring_aktuality&sprava=mpk-ucast-na-generalnej-konferencii-mop),11. 03. 2024
"Dňa 01.03.2024 bol v MPK zverejnený návrh zákona, ktorým sa mení a dopĺňa zákon č. 516/2008 Z. z. o Audiovizuálnom fonde a o zmene a doplnení niektorých zákonov. Ide o poslanecký návrh zákona,...[MPK/Zmeny v úprave múzeí a galérií](/?ros_monitoring_aktuality&sprava=mpk-zmeny-v-uprave-muzei-a-galerii)",11. 03. 2024
"Dňa 01.03.2024 bol v MPK zverejnený návrh na vydanie zákona, ktorým sa mení a dopĺňa zákon č. 206/2009 Z. z. o múzeách a o galériách a o ochrane predmetov kultúrnej hodnoty a o zmene zákona Slovenskej národnej rady č....[MPK/Zmeny vo Fonde na podporu umenia](/?ros_monitoring_aktuality&sprava=mpk-zmeny-vo-fonde-na-podporu-umenia)",11. 03. 2024
"Dňa 01.03.2024 bol v MPK zverejnený návrh na vydanie zákona, ktorým sa mení a dopĺňa zákon č. 284/2014 Z. z. o Fonde na podporu umenia a o zmene a doplnení zákona č. 434/2010 Z. z. o poskytovaní dotácií v pôsobnosti...[MPK/Údaje poskytované do centrálneho informačného systému štátnej služby](/?ros_monitoring_aktuality&sprava=mpk-udaje-poskytovane-do-centralneho-informacneho-systemu-statnej-sluzby)",04. 03. 2024
"Dňa 27.02.2024 bol v MPK zverejnený návrh vyhlášky Úradu vlády Slovenskej republiky, ktorou sa ustanovuje rozsah údajov poskytovaných do centrálneho informačného systému štátnej služby a...[MPK/Zmena gestora pri zabezpečovaní úhrady príspevku SR do civilného rozpočtu NATO](/?ros_monitoring_aktuality&sprava=mpk-zmena-gestora-pri-zabezpecovani-uhrady-prispevku-sr-do-civilneho-rozpoctu-nato)",04. 03. 2024
Dňa 28.02.2024 bol v MPK zverejnený Návrh na zmenu uznesenia vlády Slovenskej republiky č. 41 z 15. januára 2003. Návrh sa týka uznesenia vlády č. 41...[MPK/1. September ako deň začiatku školského roka](/?ros_monitoring_aktuality&sprava=mpk-1-september-ako-den-zaciatku-skolskeho-roka),04. 03. 2024
